date,time,open,high,low,close
20160705,110000,920.03998,921.52002,915.71997,918.57001
20160705,120000,918.37,919.26001,917.31,918.34998
20160705,140000,916.78003,917.56,915.77002,916.28003
20160705,150000,916.15002,916.34003,912.95001,915.81
20160705,160000,915.70001,916.42999,913.47998,913.47998
20160706,90000,908.47998,909.88,908.47998,909.88
20160706,100000,909.96002,913.59998,909.35999,913.01001
20160706,110000,912.77002,914.20001,910.25,911.51001
20160706,120000,911.63,913.46997,910.71002,912.77002
20160706,140000,913.84003,916.92999,913.84003,914.77002
20160706,150000,914.58002,916.96997,914.46997,916.04999
20160706,160000,916.73999,917.14001,913.71002,913.75
20160707,90000,918.47998,920.54999,918.29999,920.54999
20160707,100000,920.23999,921.67999,917.38,917.46002
20160707,110000,917.97998,920.87,917.10999,920.87
20160707,120000,920.96002,921.45001,918.87,920.39001
20160707,140000,920.33002,921.84003,919.01001,921.02002
20160707,150000,921.26001,921.26001,915.66998,915.94
20160707,160000,916.32001,918.84003,915.44,915.44
20160708,90000,914.73999,914.87,914.40002,914.41998
20160708,100000,914.78003,917.62,911.34998,911.91998
20160708,110000,911.21002,913.35999,910.22998,912.96997
20160708,120000,912.96997,914.48999,912.52002,913.28998
20160708,140000,912.57001,916.46002,912.57001,915.72998
20160708,150000,916.09998,916.65002,913.67999,915.84003
20160708,160000,916.33002,916.78003,914.97998,915.88
20160711,90000,922.34003,923.34998,921.90002,922.46997
20160711,100000,922.47998,926.22998,922.47998,925.40002
20160711,110000,925.22998,927.82001,924.96002,926.67999
20160711,120000,926.53003,926.87,924.69,925.85999
20160711,140000,925.81,926.41998,924.15002,924.40002
20160711,150000,924.35999,927.85999,923.37,926.92999
20160711,160000,927.16998,927.54999,924.73999,926.08002
