Date,Open,High,Low,Close,SP,Chg,%Chg,Vol,OI
2019-02-25,1106.5,1111.7,1106.1,1108.9,1108.7,6.9,0.63%,99081,226118
2019-02-26,1105,1108.3,1099.6,1099.8,1100,-8.7,-0.78%,139471,223408
2019-02-27,1101.9,1107.5,1100.6,1103.3,1103.4,3.4,0.31%,142563,225862
2019-02-28,1105.3,1106,1093.3,1095.5,1095.6,-7.8,-0.71%,160883,230830
2019-03-01,1096.5,1097.9,1086,1087.8,1087.8,-7.8,-0.71%,149729,241136
2019-03-04,1085.9,1089,1079.7,1084.3,1084,-3.8,-0.35%,147973,234665
2019-03-05,1081,1088.5,1078.2,1085,1085,1,0.09%,136528,235772
2019-03-06,1085,1087.5,1073.1,1074.4,1074.6,-10.4,-0.96%,175141,237473
2019-03-07,1074.3,1085.2,1073.9,1082.4,1082.5,7.9,0.74%,182277,237189
2019-03-08,1080,1083.5,1075.4,1079.9,1079.7,-2.8,-0.26%,139408,242763
2019-03-11,1077.7,1084.8,1070.6,1071.2,1071.4,-8.3,-0.77%,143389,247242
2019-03-12,1077.5,1081.4,1075.1,1077.2,1076.8,5.4,0.50%,165262,247347
2019-03-13,1074,1089,1072.5,1088.4,1088.1,11.3,1.05%,167605,256478
2019-03-14,1091,1091.2,1084.6,1085.3,1085.5,-2.6,-0.24%,116868,261193
2019-03-15,1084.8,1087.3,1077.6,1078.1,1078.5,-7,-0.64%,131676,258824
2019-03-18,1081,1081,1070,1074.4,1074.2,-4.3,-0.40%,145065,261866
2019-03-19,1074.2,1087.9,1073.7,1085.1,1084.5,10.3,0.96%,159185,257446
2019-03-20,1085,1086.6,1080.5,1082.8,1082.5,-2,-0.18%,103735,251461
2019-03-21,1084.6,1090.6,1084.2,1086.3,1086.7,4.2,0.39%,114926,250507
2019-03-22,1088,1099.3,1085.6,1097,1096.7,10,0.92%,142500,255274
2019-03-25,1087,1089,1073.3,1082,1082.1,-14.6,-1.33%,214469,233869
2019-03-26,1080.5,1090,1078.9,1088.1,1087.7,5.6,0.52%,192224,180604
2019-03-27,1088.5,1090,1081.2,1084.7,1084.6,-3.1,-0.29%,97883,97384
2019-03-28,1079.4,1090.6,1076.4,1088.8,1088.83,4.23,0.39%,37111,34057
