date,code,open,high,low,close,vol,PE,ROE,marketdays
2011-05-17,000016.SZ,49.24173892,53.81999977,48.93652153,52.80260847000001,60009237.0,-218.93960571289062,-1.9436,6990
2011-05-18,000016.SZ,51.68347804,53.51478238,50.869565,52.70086934,48704975.0,-218.51776123046875,-1.9436,6991
2011-05-19,000016.SZ,51.886956299999994,53.10782586,51.68347804,52.09043456000001,18268248.0,-215.98666381835938,-1.9436,6992
2011-05-23,000016.SZ,51.886956299999994,52.19217369,49.03826066000001,50.15739109,19113487.0,-207.97154235839844,-1.9436,6996
2011-05-24,000016.SZ,50.05565196000001,50.05565196000001,47.61391284,49.13999979000001,14826273.000000002,-203.7530517578125,-1.9436,6997
2011-05-25,000016.SZ,48.834782399999995,50.56434761,48.22434762,49.24173892,17719429.0,-204.1748962402344,-1.9436,6998
2011-05-26,000016.SZ,50.36086935,51.78521717,48.834782399999995,48.93652153,21324828.0,-202.9093475341797,-1.9436,6999
2011-05-27,000016.SZ,48.32608675,49.03826066000001,46.39304328,46.69826067,15131928.0,-193.6286773681641,-1.9436,7000
2011-05-30,000016.SZ,45.7826085,46.69826067,45.17217372,45.17217372,8085787.0,-187.30093383789062,-1.9436,7003
2011-05-31,000016.SZ,45.57913024000001,46.18956502,44.76521720000001,46.18956502,6457729.0,-191.51942443847656,-1.9436,7004
2011-06-01,000016.SZ,46.18956502,46.59652154000001,45.68086937,46.494782410000006,6545176.0,-192.78497314453125,-1.9436,7005
2011-06-02,000016.SZ,45.88434763,45.88434763,44.76521720000001,45.68086937,6955803.0,-189.4101867675781,-1.9436,7006
2011-06-03,000016.SZ,45.47739111,46.18956502,45.27391285,46.08782589000001,4077590.0,-191.0975799560547,-1.9436,7007
2011-06-07,000016.SZ,45.88434763,46.39304328,45.68086937,46.18956502,4207058.0,-191.51942443847656,-1.9436,7011
2011-06-08,000016.SZ,46.18956502,47.71565197000001,45.07043459,47.10521719000001,11949891.0,-195.31607055664062,-1.9436,7012
2011-06-09,000016.SZ,46.59652154000001,47.30869545000001,45.7826085,45.88434763,8545449.0,-190.25387573242188,-1.9436,7013
2011-06-10,000016.SZ,45.68086937,46.08782589000001,44.66347807,45.47739111,9847703.0,-188.5664825439453,-1.9436,7014
2011-06-13,000016.SZ,45.17217372,45.57913024000001,44.76521720000001,45.27391285,5264576.0,-187.7227783203125,-1.9436,7017
2011-06-14,000016.SZ,45.27391285,45.98608676,45.07043459,45.7826085,5795340.0,-189.83203125,-1.9436,7018
2011-06-15,000016.SZ,45.7826085,46.08782589000001,45.37565198,45.57913024000001,4142273.0000000005,-188.9883270263672,-1.9436,7019
2011-06-16,000016.SZ,45.47739111,45.47739111,44.56173894000001,44.66347807,4405505.0,-185.1916961669922,-1.9436,7020
2011-06-17,000016.SZ,44.66347807,45.07043459,43.84956503,43.95130416000001,6941969.0,-182.2387542724609,-1.9436,7021
2011-06-20,000016.SZ,43.95130416000001,44.15478242,42.83217373,43.03565199000001,4392701.0,-178.44210815429688,-1.9436,7024
2011-06-22,000016.SZ,43.747825899999995,44.05304329000001,43.23913025,43.54434764000001,4632297.0,-180.5513458251953,-1.9436,7026
2011-06-23,000016.SZ,43.34086938,44.45999981000001,43.13739112,44.15478242,5473965.0,-183.0824432373047,-1.9436,7027
2011-06-24,000016.SZ,44.15478242,45.27391285,44.05304329000001,44.96869546,7500145.0,-186.45724487304688,-1.9436,7028
2011-06-27,000016.SZ,44.96869546,45.47739111,44.86695633000001,45.07043459,5925088.0,-186.87908935546875,-1.9436,7031
2011-06-28,000016.SZ,45.07043459,45.47739111,44.56173894000001,45.27391285,5348781.0,-187.7227783203125,-1.9436,7032
2011-06-29,000016.SZ,45.17217372,45.17217372,44.35826068000001,44.35826068000001,4622294.0,-183.9261474609375,-1.9436,7033
2011-06-30,000016.SZ,44.35826068000001,44.96869546,44.35826068000001,44.66347807,5160381.0,-185.1916961669922,-5.013,7034
2011-07-01,000016.SZ,44.76521720000001,45.07043459,44.45999981000001,44.76521720000001,5602276.0,-185.6135406494141,-5.013,7035
2011-07-04,000016.SZ,45.07043459,45.68086937,44.86695633000001,45.57913024000001,7911911.0,-188.9883270263672,-5.013,7038
2011-07-05,000016.SZ,45.57913024000001,46.29130415,45.17217372,45.7826085,12004519.0,-189.83203125,-5.013,7039
2011-07-06,000016.SZ,45.88434763,46.494782410000006,45.37565198,45.98608676,9250650.0,-190.6757354736328,-5.013,7040
2011-07-07,000016.SZ,45.68086937,45.98608676,45.17217372,45.47739111,6897405.0,-188.5664825439453,-5.013,7041
2011-07-08,000016.SZ,45.47739111,46.08782589000001,45.27391285,45.88434763,5797161.0,-190.25387573242188,-5.013,7042
2011-07-11,000016.SZ,45.98631422,46.19024466000001,45.68041856000001,46.08827944,5887174.0,-190.6757354736328,-5.013,7045
2011-07-12,000016.SZ,45.78238378,45.884349,44.8646968,45.17059246,7354389.0,-186.87908935546875,-5.013,7046
2011-07-13,000016.SZ,45.17059246,45.68041856000001,44.96666202,45.47648812,7819647.0,-188.14463806152344,-5.013,7047
2011-07-14,000016.SZ,45.57845334,45.68041856000001,45.27255768000001,45.57845334,9977428.0,-188.5664825439453,-5.013,7048
2011-07-15,000016.SZ,45.27255768000001,45.3745229,44.45683592,44.8646968,18256361.0,-185.6135406494141,-5.013,7049
2011-07-18,000016.SZ,45.06862724,45.47648812,44.8646968,45.47648812,14929207.999999998,-188.14463806152344,-5.013,7052
2011-07-19,000016.SZ,45.47648812,45.68041856000001,44.66076636,45.3745229,14224093.0,-187.7227783203125,-5.013,7053
2011-07-20,000016.SZ,45.3745229,45.47648812,44.354870700000006,44.76273157999999,14213754.0,-185.1916961669922,-5.013,7054
2011-07-21,000016.SZ,44.66076636,44.76273157999999,43.8450446,43.94700982,8369489.999999999,-181.81689453125,-5.013,7055
2011-07-22,000016.SZ,43.94700982,44.25290548,43.74307938,44.04897504,5806363.0,-182.2387542724609,-5.013,7056
2011-07-26,000016.SZ,42.11163586,42.62146196,41.70377498,42.31556629999999,10260261.0,-175.06732177734375,-5.013,7060
2011-07-27,000016.SZ,42.11163586,42.51949674,41.70377498,42.41753152,5094157.0,-175.48916625976562,-5.013,7061
2011-07-28,000016.SZ,42.00967064,42.11163586,41.60180976,41.8057402,5740722.0,-172.95806884765625,-5.013,7062
2011-07-29,000016.SZ,41.90770542,42.00967064,41.2959141,41.49984454000001,4276053.0,-171.69252014160156,-5.013,7063
2011-08-01,000016.SZ,41.60180976,41.90770542,41.2959141,41.60180976,2831367.0,-172.1143798828125,-5.013,7066
2011-08-02,000016.SZ,41.60180976,41.60180976,40.17429668,40.88805322,5696878.0,-169.16143798828125,-5.013,7067
2011-08-03,000016.SZ,40.58215756,40.88805322,40.2762619,40.58215756,5005429.0,-167.89588928222656,-5.013,7068
2011-08-04,000016.SZ,40.68412278,41.09198366,40.48019234,40.786088,4118405.0000000005,-168.7395782470703,-5.013,7069
2011-08-05,000016.SZ,39.97036624,40.07233146,39.35857492,39.7664358,5216398.0,-164.52108764648438,-5.013,7070
2011-08-08,000016.SZ,39.56250536,39.66447058,35.89175744,37.62516618,10935025.0,-155.66226196289062,-5.013,7073
2011-08-09,000016.SZ,36.09568788,37.01337486,35.27996612,36.60551398,8320798.0,-151.4437713623047,-5.013,7074
2011-08-10,000016.SZ,37.11534008,37.93106184,36.7074792,36.80944442,6374063.0,-152.2874755859375,-5.013,7075
2011-08-11,000016.SZ,35.78979221999999,37.31927052,35.687827,37.21730529999999,9144373.0,-153.97486877441406,-5.013,7076
2011-08-12,000016.SZ,37.42123574,38.44088794,37.42123574,37.72713140000001,9448972.0,-156.0841064453125,-5.013,7077
2011-08-15,000016.SZ,37.82909662,38.2369575,37.62516618,38.13499228,7471341.0,-157.77151489257812,-5.013,7080
2011-08-16,000016.SZ,38.13499228,38.95071404,38.03302706,38.2369575,7379073.0,-158.193359375,-5.013,7081
2011-08-17,000016.SZ,38.13499228,38.33892272,37.72713140000001,37.82909662,4612862.0,-156.50596618652344,-5.013,7082
2011-08-18,000016.SZ,37.82909662,38.44088794,37.52320096,37.62516618,5771818.0,-155.66226196289062,-5.013,7083
2011-08-19,000016.SZ,36.7074792,37.21730529999999,36.197653100000004,36.91140964,5445655.0,-152.70932006835938,-5.013,7084
2011-08-22,000016.SZ,36.91140964,37.31927052,36.40158354,36.7074792,3168438.0,-151.86563110351562,-5.013,7087
2011-08-23,000016.SZ,36.80944442,37.52320096,36.7074792,37.42123574,4201458.0,-154.81857299804688,-5.013,7088
2011-08-24,000016.SZ,37.52320096,37.82909662,37.01337486,37.11534008,4529340.0,-153.5530242919922,-5.013,7089
2011-08-25,000016.SZ,37.31927052,38.2369575,37.11534008,38.13499228,6847789.0,-157.77151489257812,-5.013,7090
2011-08-26,000016.SZ,38.13499228,38.84874882,37.93106184,38.2369575,6008759.0,-158.193359375,-5.013,7091
2011-08-29,000016.SZ,38.2369575,38.2369575,37.72713140000001,37.82909662,3411161.0,-27.58257484436035,-5.013,7094
2011-08-30,000016.SZ,38.13499228,38.84874882,37.82909662,38.03302706,5375704.0,-27.73126792907715,-5.013,7095
2011-08-31,000016.SZ,38.03302706,38.2369575,37.31927052,38.13499228,3233053.0,-27.80561447143555,-5.013,7096
2011-09-01,000016.SZ,38.13499228,38.33892272,37.52320096,37.82909662,4274494.0,-27.58257484436035,-5.013,7097
2011-09-02,000016.SZ,37.93106184,38.03302706,37.01337486,37.21730529999999,3641469.0,-27.13649559020996,-5.013,7098
2011-09-05,000016.SZ,36.91140964,36.91140964,36.09568788,36.09568788,2963660.0,-26.318683624267575,-5.013,7101
2011-09-06,000016.SZ,35.687827,36.50354876,35.687827,36.09568788,2142187.0,-26.318683624267575,-5.013,7102
2011-09-07,000016.SZ,36.29961832,37.93106184,36.197653100000004,37.82909662,6682289.0,-27.58257484436035,-5.013,7103
2011-09-08,000016.SZ,37.93106184,38.33892272,37.31927052,37.31927052,4865085.0,-27.21084213256836,-5.013,7104
2011-09-09,000016.SZ,37.31927052,37.72713140000001,37.21730529999999,37.21730529999999,2067365.0,-27.13649559020996,-5.013,7105
2011-09-13,000016.SZ,36.60551398,36.91140964,36.50354876,36.80944442,1981471.0,-26.83910942077637,-5.013,7109
2011-09-14,000016.SZ,36.91140964,37.11534008,36.197653100000004,37.11534008,2468976.0,-27.06214904785156,-5.013,7110
2011-09-15,000016.SZ,37.11534008,38.7467836,37.01337486,38.03302706,9612347.0,-27.73126792907715,-5.013,7111
2011-09-16,000016.SZ,37.82909662,39.05267926,37.52320096,38.54285316,9908889.0,-28.10300064086914,-5.013,7112
2011-09-19,000016.SZ,38.54285316,38.54285316,36.7074792,36.91140964,6826367.999999999,-26.91345596313477,-5.013,7115
2011-09-20,000016.SZ,37.11534008,37.52320096,36.60551398,37.31927052,3623739.0,-27.21084213256836,-5.013,7116
2011-09-21,000016.SZ,37.21730529999999,38.2369575,37.11534008,38.2369575,5086757.0,-27.879961013793945,-5.013,7117
2011-09-22,000016.SZ,37.93106184,39.7664358,37.82909662,38.64481838,18342873.0,-28.17734718322754,-5.013,7118
2011-09-23,000016.SZ,37.93106184,40.2762619,37.52320096,39.7664358,18219875.0,-28.995159149169922,-5.013,7119
2011-09-26,000016.SZ,40.2762619,41.60180976,39.7664358,40.07233146,26789189.0,-29.21819877624512,-5.013,7122
2011-09-27,000016.SZ,40.786088,40.88805322,39.86840102,40.2762619,10127801.0,-29.366891860961914,-5.013,7123
2011-09-28,000016.SZ,40.37822712,40.68412278,38.54285316,39.2566097,11646884.0,-28.62342643737793,-5.013,7124
2011-09-29,000016.SZ,38.84874882,38.84874882,37.31927052,37.72713140000001,7643798.0,-27.508228302001953,-5.013,7125
2011-09-30,000016.SZ,37.72713140000001,38.33892272,35.78979221999999,37.01337486,6081968.0,-26.987802505493164,-4.2041,7126
2011-10-10,000016.SZ,37.11534008,37.42123574,36.7074792,36.80944442,3030363.0,-26.83910942077637,-4.2041,7136
